event_id,event_date,event_time,event_title,event_description,event_type,event_source,event_source_link,country_name,country_code,location_description,location_accuracy,latitude,longitude,landslide_size,landslide_trigger,landslide_setting,fatality_count,injury_count
NER001,2024-06-15,14:30,Gangtok Hill Slope Failure,"Heavy rainfall triggered slope failure near Tadong village, blocking NH-10 for 6 hours",landslide,news,,India,IN,"Tadong, Gangtok, Sikkim",accurate,27.3389,88.6065,medium,rain,hill_slope,0,2
NER002,2024-07-22,09:15,Mawlynnong Village Landslide,"Monsoon rains caused landslide in tourist village, damaging 3 homes",landslide,news,,India,IN,"Mawlynnong, East Khasi Hills, Meghalaya",accurate,25.2592,91.7276,small,rain,hill_slope,0,0
NER003,2024-08-05,03:45,Rangpo Critical Slope Collapse,Intense overnight rainfall caused major slope collapse on Rangpo-Singtam road,landslide,news,,India,IN,"Rangpo, East Sikkim",accurate,27.1800,88.5300,medium,rain,road_cut,1,3
NER004,2023-06-18,16:20,Cherrapunji Record Rainfall Event,48-hour rainfall of 620mm triggered multiple landslides across East Khasi Hills,landslide,news,,India,IN,"Cherrapunji, East Khasi Hills, Meghalaya",accurate,25.2838,91.7344,large,rain,hill_slope,3,8
NER005,2023-07-12,11:00,Aizawl Hill Road Landslide,"Persistent rainfall caused landslide on Aizawl-Tuirial road, blocking traffic for 3 days",landslide,news,,India,IN,"Aizawl, Mizoram",accurate,23.7271,92.7176,medium,rain,road_cut,0,1
NER006,2023-08-20,22:30,Imphal Valley Night Landslide,"Nighttime landslide in Imphal East damaged 5 houses, 20 people displaced",landslide,news,,India,IN,"Porompat, Imphal East, Manipur",accurate,24.8170,93.9368,medium,rain,hill_slope,0,2
NER007,2022-06-25,08:00,Kohima-Jakha Road Blockage,Heavy monsoon rainfall caused massive landslide blocking NH-2 for 48 hours,landslide,news,,India,IN,"Kohima, Nagaland",accurate,25.6586,94.1086,large,rain,road_cut,2,5
NER008,2022-07-30,14:00,Tawang Flash Flood Landslide,Glacial lake outburst combined with rainfall caused debris flow in Tawang district,landslide,news,,India,IN,"Tawang, Arunachal Pradesh",accurate,27.5860,91.8800,large,flood,valley,5,12
NER009,2022-08-15,06:30,Dimapur Lowland Flooding,Dhansiri river overflow caused flooding and mudslides in Dimapur town,landslide,news,,India,IN,"Dimapur, Nagaland",accurate,25.9000,93.7266,medium,flood,floodplain,1,3
NER010,2022-09-05,19:45,Pasighat Riverbank Collapse,Siang river erosion triggered bank collapse affecting 2 villages,landslide,news,,India,IN,"Pasighat, East Siang, Arunachal Pradesh",accurate,28.0700,95.3300,medium,flood,riverbank,0,4
NER011,2021-06-20,10:15,Gangtok TB Gate Landslide,"Monsoon rainfall caused landslide near TB Gate, damaging NH-10",landslide,news,,India,IN,"Gangtok, Sikkim",accurate,27.3300,88.6100,medium,rain,road_cut,0,1
NER012,2021-07-08,15:30,Shillong-Dawki Road Landslide,Heavy rainfall caused multiple landslides on Shillong-Dawki highway,landslide,news,,India,IN,"Shillong, East Khasi Hills, Meghalaya",accurate,25.5788,91.8933,medium,rain,road_cut,0,0
NER013,2020-06-15,04:00,Mangan Night Landslide,Early morning landslide in Mangan town damaged 8 homes,landslide,news,,India,IN,"Mangan, North Sikkim",accurate,27.5124,88.5281,medium,rain,hill_slope,1,3
NER014,2020-07-22,12:00,Itanagar Capital Complex Landslide,Landslide in Itanagar affected National Highway 415,landslide,news,,India,IN,"Itanagar, Papum Pare, Arunachal Pradesh",accurate,27.0844,93.6920,small,rain,hill_slope,0,0
NER015,2020-08-10,17:00,Lunglei Hill Collapse,Prolonged rainfall caused hill collapse near Lunglei town,landslide,news,,India,IN,"Lunglei, Mizoram",accurate,22.9000,92.7500,medium,rain,hill_slope,0,1
NER016,2019-07-15,09:30,Ziro Valley Landslide,Landslide blocked Ziro-Hapoli road for 2 days,landslide,news,,India,IN,"Ziro, Lower Subansiri, Arunachal Pradesh",accurate,27.5887,93.8492,small,rain,valley,0,0
NER017,2018-06-28,13:00,Haflong Major Landslide,"Massive landslide on Haflong-Guwahati road killed 2, injured 6",landslide,news,,India,IN,"Haflong, Dima Hasao, Assam",accurate,25.4500,93.1800,large,rain,road_cut,2,6
NER018,2018-07-20,20:00,Kamrup Foothill Landslide,Evening landslide near Chandrapur blocked important connectivity road,landslide,news,,India,IN,"Chandrapur, Kamrup, Assam",accurate,26.1445,91.7362,small,rain,foothill,0,0
NER019,2018-08-05,11:15,Churachandpur Hillslide,Landslide in Churachandpur district damaged homes and agricultural land,landslide,news,,India,IN,"Churachandpur, Manipur",accurate,24.3322,93.6825,medium,rain,hill_slope,0,2
NER020,2017-06-12,07:00,Gangtok Ranka Road Landslide,Pre-monsoon rainfall triggered landslide on Ranka road,landslide,news,,India,IN,"Ranka, Gangtok, Sikkim",accurate,27.3100,88.5800,small,rain,road_cut,0,0
NER021,2017-07-25,16:45,Agartala Suburban Landslide,Heavy rainfall caused slope failure in Agartala outskirts,landslide,news,,India,IN,"Agartala, West Tripura",accurate,23.8315,91.2868,small,rain,suburban,0,0
NER022,2017-08-18,10:30,Kohima Local Landslide,Landslide near Kohima local market displaced 15 families,landslide,news,,India,IN,"Kohima, Nagaland",accurate,25.6600,94.1100,medium,rain,urban,0,1
NER023,2015-06-22,14:00,Mangan-Dzongri Route Landslide,Major landslide on Mangan-Dzongri trekking route,landslide,news,,India,IN,"Mangan, North Sikkim",accurate,27.5200,88.5300,large,rain,hill_slope,2,4
NER024,2015-07-10,08:30,Diphu Hill Road Landslide,Karbi Anglong hill road blocked by landslide,landslide,news,,India,IN,"Diphu, Karbi Anglong, Assam",accurate,25.8500,93.4200,medium,rain,road_cut,0,1
NER025,2014-06-18,11:00,Namchi Valley Landslide,Landslide in Namchi valley blocked connectivity to south Sikkim,landslide,news,,India,IN,"Namchi, South Sikkim",accurate,27.1684,88.5510,medium,rain,valley,0,2
NER026,2014-07-28,19:00,Tura Town Landslide,Evening landslide in Tura affected residential area,landslide,news,,India,IN,"Tura, West Garo Hills, Meghalaya",accurate,25.5140,90.2200,small,rain,urban,0,0
NER027,2013-07-15,06:00,Mangan Hill Major Slide,"Major landslide on Mangan-Dzongri route after heavy monsoon, 2 killed",landslide,news,,India,IN,"Mangan, North Sikkim",accurate,27.5124,88.5281,large,rain,hill_slope,2,8
NER028,2013-08-05,15:00,Aizawl Southern Landslide,Landslide on Aizawl southern hills damaged infrastructure,landslide,news,,India,IN,"Aizawl, Mizoram",accurate,23.7200,92.7200,medium,rain,hill_slope,0,1
